Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,DSTRS,156.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,CRK HBD,156.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
2,BRIDGE,156.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,COAST T,157.300000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,COAST R,161.900000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,NAVAL O,156.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
6,NAVAL I,156.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
7,DIGITAL,156.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
8,PMR 1,446.006250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,PMR 2,446.018750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,PMR 3,446.031250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
11,PMR 4,446.043750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
12,PMR 5,446.056250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
13,PMR 6,446.068750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,PMR 7,446.081250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
15,PMR 8,446.093750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
16,PMR 9,446.106250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
17,PMR 10,446.118750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
18,PMR 11,446.131250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
19,PMR 12,446.143750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
20,PMR 13,446.156250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
21,PMR 14,446.168750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
22,PMR 15,446.181250,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
23,PMR 16,446.193750,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
